groupe,modèle,mode,temps,formes,personne
-er,aimer,indicatif,présent,j'aime,je
-er,aimer,indicatif,présent,tu aimes,tu
-er,aimer,indicatif,présent,il aime,il
-er,aimer,indicatif,présent,nous aimons,nous
-er,aimer,indicatif,présent,vous aimez,vous
-er,aimer,indicatif,présent,ils aiment,ils
-er,manger,indicatif,présent,je mange,je
-er,manger,indicatif,présent,tu manges,tu
-er,manger,indicatif,présent,il mange,il
-er,manger,indicatif,présent,nous mangeons,nous
-er,manger,indicatif,présent,vous mangez,vous
-er,manger,indicatif,présent,ils mangent,ils
-ir,finir,indicatif,présent,je finis,je
-ir,finir,indicatif,présent,tu finis,tu
-ir,finir,indicatif,présent,il finit,il
-ir,finir,indicatif,présent,nous finissons,nous
-ir,finir,indicatif,présent,vous finissez,vous
-ir,finir,indicatif,présent,ils finissent,ils
-ir,partir,indicatif,présent,je pars,je
-ir,partir,indicatif,présent,tu pars,tu
-ir,partir,indicatif,présent,il part,il
-ir,partir,indicatif,présent,nous partons,nous
-ir,partir,indicatif,présent,vous partez,vous
-ir,partir,indicatif,présent,ils partent,ils
-oir,devoir,indicatif,présent,je dois,je
-oir,devoir,indicatif,présent,tu dois,tu
-oir,devoir,indicatif,présent,il doit,il
-oir,devoir,indicatif,présent,nous devons,nous
-oir,devoir,indicatif,présent,vous devez,vous
-oir,devoir,indicatif,présent,ils doivent,ils
-oir,pouvoir,indicatif,présent,je peux,je
-oir,pouvoir,indicatif,présent,tu peux,tu
-oir,pouvoir,indicatif,présent,il peut,il
-oir,pouvoir,indicatif,présent,nous pouvons,nous
-oir,pouvoir,indicatif,présent,vous pouvez,vous
-oir,pouvoir,indicatif,présent,ils peuvent,ils
-ire,lire,indicatif,présent,je lis,je
-ire,lire,indicatif,présent,tu lis,tu
-ire,lire,indicatif,présent,il lit,il
-ire,lire,indicatif,présent,nous lisons,nous
-ire,lire,indicatif,présent,vous lisez,vous
-ire,lire,indicatif,présent,ils lisent,ils
-ire,écrire,indicatif,présent,j'écris,je
-ire,écrire,indicatif,présent,tu écris,tu
-ire,écrire,indicatif,présent,il écrit,il
-ire,écrire,indicatif,présent,nous écrivons,nous
-ire,écrire,indicatif,présent,vous écrivez,vous
-ire,écrire,indicatif,présent,ils écrivent,ils
Autres,faire,indicatif,présent,je fais,je
Autres,faire,indicatif,présent,tu fais,tu
Autres,faire,indicatif,présent,il fait,il
Autres,faire,indicatif,présent,nous faisons,nous
Autres,faire,indicatif,présent,vous faites,vous
Autres,faire,indicatif,présent,ils font,ils
Autres,être,indicatif,présent,je suis,je
Autres,être,indicatif,présent,tu es,tu
Autres,être,indicatif,présent,il est,il
Autres,être,indicatif,présent,nous sommes,nous
Autres,être,indicatif,présent,vous êtes,vous
Autres,être,indicatif,présent,ils sont,ils
Autres,avoir,indicatif,présent,j'ai,je
Autres,avoir,indicatif,présent,tu as,tu
Autres,avoir,indicatif,présent,il a,il
Autres,avoir,indicatif,présent,nous avons,nous
Autres,avoir,indicatif,présent,vous avez,vous
Autres,avoir,indicatif,présent,ils ont,ils
-er,appeler,indicatif,présent,j'appelle,je
-er,appeler,indicatif,présent,tu appelles,tu
-er,appeler,indicatif,présent,il appelle,il
-er,appeler,indicatif,présent,nous appelons,nous
-er,appeler,indicatif,présent,vous appelez,vous
-er,appeler,indicatif,présent,ils appellent,ils
-er,acheter,indicatif,présent,j'achète,je
-er,acheter,indicatif,présent,tu achètes,tu
-er,acheter,indicatif,présent,il achète,il
-er,acheter,indicatif,présent,nous achetons,nous
-er,acheter,indicatif,présent,vous achetez,vous
-er,acheter,indicatif,présent,ils achètent,ils
-er,répéter,indicatif,présent,je répète,je
-er,répéter,indicatif,présent,tu répètes,tu
-er,répéter,indicatif,présent,il répète,il
-er,répéter,indicatif,présent,nous répétons,nous
-er,répéter,indicatif,présent,vous répétez,vous
-er,répéter,indicatif,présent,ils répètent,ils
Autres,boire,indicatif,présent,je bois,je
Autres,boire,indicatif,présent,tu bois,tu
Autres,boire,indicatif,présent,il boit,il
Autres,boire,indicatif,présent,nous buvons,nous
Autres,boire,indicatif,présent,vous buvez,vous
Autres,boire,indicatif,présent,ils boivent,ils
-er,aller,indicatif,présent,je vais,je
-er,aller,indicatif,présent,tu vas,tu
-er,aller,indicatif,présent,il va,il
-er,aller,indicatif,présent,nous allons,nous
-er,aller,indicatif,présent,vous allez,vous
-er,aller,indicatif,présent,ils vont,ils
-oir,vouloir,indicatif,présent,je veux,je
-oir,vouloir,indicatif,présent,tu veux,tu
-oir,vouloir,indicatif,présent,il peut,il
-oir,vouloir,indicatif,présent,nous pouvons,nous
-oir,vouloir,indicatif,présent,vous pouvez,vous
-oir,vouloir,indicatif,présent,ils peuvent,ils
-er,aller,indicatif,passé composé,je suis allé,je
-er,aller,indicatif,passé composé,tu es allé,tu
-er,aller,indicatif,passé composé,il est allé,il
-er,aller,indicatif,passé composé,nous sommes allés,nous
-er,aller,indicatif,passé composé,vous êtes allés,vous
